Company,Rank,Year,Revenue (in millions),Profit (in millions)
United States Steel,176,2015,17507,102
Penske Automotive Group,177,2015,17439,287
AES,178,2015,17378,769
Colgate-Palmolive,179,2015,17277,2180
Global Partners,180,2015,17270,115
Thermo Fisher Scientific,181,2015,17100,1894
PG&E Corp.,182,2015,17090,1436
NextEra Energy,183,2015,17021,2465
American Electric Power,184,2015,17020,1634
Baxter International,185,2015,16972,2497
Centene,186,2015,16588,271
Starbucks,187,2015,16448,2068
Gap,188,2015,16435,1262
Bank of New York Mellon Corp.,189,2015,16386,2567
Micron Technology,190,2015,16358,3045
Jabil Circuit,191,2015,16349,241
PNC Financial Services Group,192,2015,16281,4184
Kinder Morgan,193,2015,16226,1026
Office Depot,194,2015,16096,-354
Bristol-Myers Squibb,195,2015,15879,2004
NRG Energy,196,2015,15868,134
Monsanto,197,2015,15855,2740
PPG Industries,198,2015,15607,2102
Genuine Parts,199,2015,15342,711
Omnicom Group,200,2015,15318,1104
Illinois Tool Works,201,2015,15282,2946
Murphy USA,202,2015,15279,244
Land O'Lakes,203,2015,15199,267
Western Refining,204,2015,15154,560
Western Digital,205,2015,15130,1617
FirstEnergy,206,2015,15054,299
Aramark,207,2015,14833,149
DISH Network,208,2015,14643,945
Las Vegas Sands,209,2015,14584,2841
Kellogg,210,2015,14580,632
Loews,211,2015,14572,591
CBS,212,2015,14483,2959
Ecolab,213,2015,14281,1203
Whole Foods Market,214,2015,14194,579
Chubb,215,2015,14098,2100
Health Net,216,2015,14009,146
Waste Management,217,2015,13996,1298
Apache,218,2015,13938,-5403
Textron,219,2015,13878,600
Synnex,220,2015,13840,180
Marriott International,221,2015,13796,753
Viacom,222,2015,13783,2391
Lincoln National,223,2015,13554,1515
Nordstrom,224,2015,13506,720
C.H. Robinson Worldwide,225,2015,13470,450
Edison International,226,2015,13413,1612
Marathon Oil,227,2015,13297,3046
Yum Brands,228,2015,13279,1051
Computer Sciences,229,2015,13233,674
Parker-Hannifin,230,2015,13216,1041
DaVita HealthCare Partners,231,2015,13162,723
CarMax,232,2015,13122,493
Texas Instruments,233,2015,13045,2821
WellCare Health Plans,234,2015,12960,64
Marsh & McLennan,235,2015,12951,1465
Consolidated Edison,236,2015,12919,1092
Oneok,237,2015,12836,314
Visa,238,2015,12702,5438
Jacobs Engineering Group,239,2015,12695,328
CSX,240,2015,12669,1927
Entergy,241,2015,12495,941
Facebook,242,2015,12466,2940
Dominion Resources,243,2015,12436,1310
Leucadia National,244,2015,12407,208
"Toys ""R"" Us",245,2015,12361,-292
DTE Energy,246,2015,12301,905
Ameriprise Financial,247,2015,12296,1619
VF,248,2015,12282,1048
Praxair,249,2015,12273,1694
J.C. Penney,250,2015,12257,-771
Automatic Data Processing,251,2015,12220,1516
L-3 Communications,252,2015,12124,664
CDW,253,2015,12075,245
Guardian Life Ins. Co. of America,254,2015,11909,445
Xcel Energy,255,2015,11686,1021
Norfolk Southern,256,2015,11624,2000
PPL,257,2015,11616,1737
R.R. Donnelley & Sons,258,2015,11603,117
Huntsman,259,2015,11578,323
Bed Bath & Beyond,260,2015,11504,1022
Stanley Black & Decker,261,2015,11457,761
L Brands,262,2015,11454,1042
Liberty Interactive,263,2015,11382,537
Farmers Insurance Exchange,264,2015,11318,3
First Data,265,2015,11152,-458
Sherwin-Williams,266,2015,11130,866
BlackRock,267,2015,11081,3294
Voya Financial,268,2015,11071,2300
Ross Stores,269,2015,11042,925
Sempra Energy,270,2015,11035,1161
Estee Lauder,271,2015,10969,1204
H.J. Heinz,272,2015,10922,657
Reinsurance Group of America,273,2015,10904,684
Public Service Enterprise Group,274,2015,10886,1518
Cameron International,275,2015,10809,811
Navistar International,276,2015,10806,-619
CST Brands,277,2015,10777,200
State Street Corp.,278,2015,10687,2037
Unum Group,279,2015,10510,413
Hilton Worldwide Holdings,280,2015,10502,673
Family Dollar Stores,281,2015,10489,285
Principal Financial,282,2015,10478,1144
Reliance Steel & Aluminum,283,2015,10452,372
Air Products & Chemicals,284,2015,10448,992
Assurant,285,2015,10382,471
Peter Kiewit Sons',286,2015,10380,350
Henry Schein,287,2015,10371,466
Cognizant Technology Solutions,288,2015,10263,1439
MGM Resorts International,289,2015,10082,-150
W.W. Grainger,290,2015,9965,802
Group 1 Automotive,291,2015,9938,93
BB&T Corp.,292,2015,9926,2151
WestRock,293,2015,9895,480
Advance Auto Parts,294,2015,9844,494
Ally Financial,295,2015,9790,1150
AGCO,296,2015,9724,410
Corning,297,2015,9715,2472
Biogen,298,2015,9703,2935
NGL Energy Partners,299,2015,9699,48
Stryker,300,2015,9675,515
Molina Healthcare,301,2015,9667,62
Precision Castparts,302,2015,9640,1777
Discover Financial Services,303,2015,9611,2323
Genworth Financial,304,2015,9565,-1244
Eastman Chemical,305,2015,9527,751
Dean Foods,306,2015,9503,-20
AutoZone,307,2015,9475,1070
MasterCard,308,2015,9473,3617
Owens & Minor,309,2015,9440,67
Hormel Foods,310,2015,9316,603
GameStop,311,2015,9296,393
Autoliv,312,2015,9241,468
CenterPoint Energy,313,2015,9226,611
Fidelity National Financial,314,2015,9199,583
Sonic Automotive,315,2015,9197,97
HD Supply Holdings,316,2015,9167,3
Charter Communications,317,2015,9108,-183
Crown Holdings,318,2015,9097,387
Applied Materials,319,2015,9072,1072
Mosaic,320,2015,9056,1029
CBRE Group,321,2015,9050,485
Avon Products,322,2015,8851,-389
Republic Services,323,2015,8788,548
Universal Health Services,324,2015,8764,545
Darden Restaurants,325,2015,8758,286
Steel Dynamics,326,2015,8756,157
SunTrust Banks,327,2015,8707,1774
Caesars Entertainment,328,2015,8679,-2783
Targa Resources,329,2015,8617,102
Dollar Tree,330,2015,8602,599
News Corp.,331,2015,8574,239
Ball,332,2015,8570,470
Thrivent Financial for Lutherans,333,2015,8521,753
Masco,334,2015,8521,856
Franklin Resources,335,2015,8491,2384
Avis Budget Group,336,2015,8485,245
Reynolds American,337,2015,8471,1470
Becton Dickinson,338,2015,8446,1185
Priceline Group,339,2015,8442,2422
Broadcom,340,2015,8428,652
Tenneco,341,2015,8420,226
Campbell Soup,342,2015,8405,818
AECOM,343,2015,8357,230
Visteon,344,2015,8343,-295
Delek US Holdings,345,2015,8324,199
Dover,346,2015,8322,775
BorgWarner,347,2015,8305,656
Jarden,348,2015,8287,243
UGI,349,2015,8277,337
Murphy Oil,350,2015,8263,906
PVH,351,2015,8241,439
Core-Mark Holding,352,2015,8170,43
Calpine,353,2015,8030,946
D.R. Horton,354,2015,8025,534
Weyerhaeuser,355,2015,7976,1826
KKR,356,2015,7972,478
FMC Technologies,357,2015,7943,700
American Family Insurance Group,358,2015,7933,515
SpartanNash,359,2015,7916,59
WESCO International,360,2015,7890,276
Quanta Services,361,2015,7851,297
Mohawk Industries,362,2015,7803,532
Motorola Solutions,363,2015,7785,1299
Lennar,364,2015,7780,639
TravelCenters of America,365,2015,7779,61
Sealed Air,366,2015,7751,258
Eversource Energy,367,2015,7742,820
Coca-Cola Enterprises,368,2015,7680,663
Celgene,369,2015,7670,2000
Williams,370,2015,7637,2114
Ashland,371,2015,7621,233
Interpublic Group,372,2015,7537,477
Blackstone Group,373,2015,7485,1585
Ralph Lauren,374,2015,7450,776
Quest Diagnostics,375,2015,7435,556
Hershey,376,2015,7422,847
Terex,377,2015,7404,319
Boston Scientific,378,2015,7380,-119
Newmont Mining,379,2015,7292,508
Allergan,380,2015,7238,1524
O'Reilly Automotive,381,2015,7216,778
Casey's General Stores,382,2015,7194,127
CMS Energy,383,2015,7179,477
Foot Locker,384,2015,7151,520
W.R. Berkley,385,2015,7129,649
PetSmart,386,2015,7112,426
Pacific Life,387,2015,7073,540
Commercial Metals,388,2015,7057,116
Agilent Technologies,389,2015,6981,504
Huntington Ingalls Industries,390,2015,6957,338
Mutual of Omaha Insurance,391,2015,6878,292
Live Nation Entertainment,392,2015,6867,-91
Dick's Sporting Goods,393,2015,6815,344
Oshkosh,394,2015,6808,309
Celanese,395,2015,6802,624
Spirit AeroSystems Holdings,396,2015,6799,359
United Natural Foods,397,2015,6794,126
Peabody Energy,398,2015,6792,-787
Owens-Illinois,399,2015,6784,75
Dillard's,400,2015,6780,332
Level 3 Communications,401,2015,6777,314
Pantry,402,2015,6765,13
LKQ,403,2015,6740,382
Integrys Energy Group,404,2015,6731,277
Symantec,405,2015,6676,898
Buckeye Partners,406,2015,6646,273
Ryder System,407,2015,6639,219
SanDisk,408,2015,6628,1007
Rockwell Automation,409,2015,6624,827
Dana Holding,410,2015,6617,319
Lansing Trade Group,411,2015,6614,58
NCR,412,2015,6591,191
Expeditors International of Washington,413,2015,6565,377
Omnicare,414,2015,6551,145
AK Steel Holding,415,2015,6506,-97
Fifth Third Bancorp,416,2015,6503,1481
Seaboard,417,2015,6473,365
NiSource,418,2015,6471,530
Cablevision Systems,419,2015,6461,311
Anixter International,420,2015,6446,195
EMCOR Group,421,2015,6444,169
Fidelity National Information Services,422,2015,6417,679
Barnes & Noble,423,2015,6381,-47
KBR,424,2015,6366,-1262
Auto-Owners Insurance,425,2015,6337,564
Jones Financial,426,2015,6333,770
Avery Dennison,427,2015,6330,249
NetApp,428,2015,6325,638
iHeartMedia,429,2015,6319,-794
Discovery Communications,430,2015,6265,1139
Harley-Davidson,431,2015,6229,845
Sanmina,432,2015,6215,197
Trinity Industries,433,2015,6170,678
J.B. Hunt Transport Services,434,2015,6165,375
Charles Schwab,435,2015,6156,1321
Erie Insurance Group,436,2015,6124,168
Dr Pepper Snapple Group,437,2015,6121,703
Ameren,438,2015,6054,586
Mattel,439,2015,6024,499
Laboratory Corp. of America,440,2015,6012,511
TEGNA,441,2015,6008,1062
Starwood Hotels & Resorts,442,2015,5983,633
General Cable,443,2015,5980,-628
A-Mark Precious Metals,444,2015,5979,8
Graybar Electric,445,2015,5979,87
Energy Future Holdings,446,2015,5978,-6406
HRG Group,447,2015,5963,-10
MRC Global,448,2015,5933,144
Spectra Energy,449,2015,5903,1082
Asbury Automotive Group,450,2015,5868,112
Packaging Corp. of America,451,2015,5853,393
Windstream Holdings,452,2015,5830,-40
PulteGroup,453,2015,5822,474
JetBlue Airways,454,2015,5817,401
Newell Brands,455,2015,5810,378
Con-way,456,2015,5806,137
Calumet Specialty Products Partners,457,2015,5791,-112
Expedia,458,2015,5764,398
American Financial Group,459,2015,5713,452
Tractor Supply,460,2015,5712,371
United Rentals,461,2015,5685,540
Ingredion,462,2015,5668,355
Navient,463,2015,5637,1149
MeadWestvaco,464,2015,5631,263
AGL Resources,465,2015,5628,482
St. Jude Medical,466,2015,5622,1002
J.M. Smucker,467,2015,5611,565
Western Union,468,2015,5607,852
Clorox,469,2015,5591,558
Domtar,470,2015,5563,431
Kelly Services,471,2015,5563,24
Old Republic International,472,2015,5531,410
Advanced Micro Devices,473,2015,5506,-403
Netflix,474,2015,5505,267
Booz Allen Hamilton Holding,475,2015,5479,232
Quintiles Transnational Holdings,476,2015,5460,356
Wynn Resorts,477,2015,5434,732
Jones Lang LaSalle,478,2015,5430,386
Regions Financial,479,2015,5428,1155
CH2M Hill,480,2015,5414,-182
Western & Southern Financial Group,481,2015,5404,790
Lithia Motors,482,2015,5403,139
salesforce.com,483,2015,5374,-263
Alaska Air Group,484,2015,5368,605
Host Hotels & Resorts,485,2015,5354,732
Harman International Industries,486,2015,5349,235
Amphenol,487,2015,5346,709
Realogy Holdings,488,2015,5328,143
Essendant,489,2015,5327,119
Hanesbrands,490,2015,5325,405
Kindred Healthcare,491,2015,5325,-80
ARRIS Group,492,2015,5323,327
Insight Enterprises,493,2015,5316,76
Alliance Data Systems,494,2015,5303,506
LifePoint Health,495,2015,5301,126
Pioneer Natural Resources,496,2015,5293,930
Wyndham Worldwide,497,2015,5281,529
Owens Corning,498,2015,5276,226
Alleghany,499,2015,5232,679
McGraw Hill Financial,500,2015,5190,-115
Walmart,1,2016,482130,14694
Exxon Mobil,2,2016,246204,16150
Apple,3,2016,233715,53394
Berkshire Hathaway,4,2016,210821,24083
McKesson,5,2016,181241,1476
UnitedHealth Group,6,2016,157107,5813
CVS Health,7,2016,153290,5237
General Motors,8,2016,152356,9687
Ford Motor,9,2016,149558,7373
AT&T,10,2016,146801,13345
General Electric,11,2016,140389,6126
AmerisourceBergen,12,2016,135962,135
Verizon,13,2016,131620,17879
Chevron,14,2016,131118,4587
Costco,15,2016,116199,2377
Fannie Mae,16,2016,110359,10954
Kroger,17,2016,109830,2039
Amazon.com,18,2016,107006,596
Walgreens Boots Alliance,19,2016,103444,4220
HP,20,2016,103355,4554
Cardinal Health,21,2016,102531,1215
Express Scripts Holding,22,2016,101752,2476
J.P. Morgan Chase,23,2016,101006,24442
Boeing,24,2016,96114,5176
Microsoft,25,2016,93580,12193
Bank of America Corp.,26,2016,93056,15888
Wells Fargo,27,2016,90033,22894
Home Depot,28,2016,88519,7009
Citigroup,29,2016,88275,17242
Phillips 66,30,2016,87169,4227
IBM,31,2016,82461,13190
Valero Energy,32,2016,81824,3990
Anthem,33,2016,79157,2560
Procter & Gamble,34,2016,78756,7036
State Farm Insurance Cos.,35,2016,75697,6229
Alphabet,36,2016,74989,16348
Comcast,37,2016,74510,8163
Target,38,2016,73785,3363
Johnson & Johnson,39,2016,70074,15409
MetLife,40,2016,69951,5310
Archer Daniels Midland,41,2016,67702,1849
Marathon Petroleum,42,2016,64566,2852
Freddie Mac,43,2016,63491,6376
PepsiCo,44,2016,63056,5452
United Technologies,45,2016,61047,7608
Aetna,46,2016,60337,2390
Lowe's,47,2016,59074,2546
UPS,48,2016,58363,4844
AIG,49,2016,58327,2196
Prudential Financial,50,2016,57119,5642
Intel,51,2016,55355,11420
Humana,52,2016,54289,1276
Disney,53,2016,52465,8382
Cisco Systems,54,2016,49161,8981
Pfizer,55,2016,48851,6960
Dow Chemical,56,2016,48778,7685
Sysco,57,2016,48681,687
FedEx,58,2016,47453,1050
Caterpillar,59,2016,47011,2102
Lockheed Martin,60,2016,46132,3605
New York Life Insurance,61,2016,45891,257
Coca-Cola,62,2016,44294,7351
HCA Holdings,63,2016,43591,2129
Ingram Micro,64,2016,43026,215
Energy Transfer Equity,65,2016,42126,1189
Tyson Foods,66,2016,41373,1220
American Airlines Group,67,2016,40990,7610
Delta Air Lines,68,2016,40704,4526
Nationwide,69,2016,40222,581
Johnson Controls,70,2016,40204,1563
Best Buy,71,2016,39745,897
Merck,72,2016,39498,4442
Liberty Mutual Insurance Group,73,2016,39450,514
Goldman Sachs Group,74,2016,39208,6083
Honeywell International,75,2016,38581,4768
Massachusetts Mutual Life Insurance,76,2016,38243,1425
Oracle,77,2016,38226,9938
Morgan Stanley,78,2016,37897,6127
Cigna,79,2016,37876,2094
United Continental Holdings,80,2016,37864,7340
Allstate,81,2016,35653,2171
TIAA,82,2016,35181,1214
INTL FCStone,83,2016,34693,56
CHS,84,2016,34582,781
American Express,85,2016,34441,5163
Gilead Sciences,86,2016,32639,18108
Publix Super Markets,87,2016,32619,1965
General Dynamics,88,2016,31469,2965
TJX,89,2016,30945,2278
ConocoPhillips,90,2016,30935,4428
Nike,91,2016,30601,3273
World Fuel Services,92,2016,30380,187
3M,93,2016,30274,4833
Mondelez International,94,2016,29636,7267
Exelon,95,2016,29447,2269
Twenty-First Century Fox,96,2016,28987,8306
Deere,97,2016,28863,1940
Tesoro,98,2016,28150,1540
Time Warner,99,2016,28118,3833
Northwestern Mutual,100,2016,28111,815
DuPont,101,2016,27940,1953
Avnet,102,2016,27925,572
Macy's,103,2016,27079,1072
Enterprise Products Partners,104,2016,27028,2521
Travelers Cos.,105,2016,26800,3439
Philip Morris International,106,2016,26794,6873
Rite Aid,107,2016,26528,2109
Tech Data,108,2016,26380,266
McDonald's,109,2016,25413,4529
Qualcomm,110,2016,25281,5271
Sears Holdings,111,2016,25146,1129
Capital One Financial,112,2016,25098,4050
EMC,113,2016,24704,1990
USAA,114,2016,24361,2272
Duke Energy,115,2016,24002,2816
Time Warner Cable,116,2016,23697,1844
Halliburton,117,2016,23633,671
Northrop Grumman,118,2016,23526,1990
Arrow Electronics,119,2016,23282,498
Raytheon,120,2016,23247,2074
Plains GP Holdings,121,2016,23152,118
US Foods Holding,122,2016,23128,168
AbbVie,123,2016,22859,5144
Centene,124,2016,22795,355
Community Health Systems,125,2016,22678,158
Arconic,126,2016,22534,322
International Paper,127,2016,22365,938
Emerson Electric,128,2016,22304,2710
Union Pacific,129,2016,21813,4772
Amgen,130,2016,21662,6939
U.S. Bancorp,131,2016,21494,5879
Staples,132,2016,21059,379
Danaher,133,2016,20909,3357
Whirlpool,134,2016,20891,783
Aflac,135,2016,20872,2533
AutoNation,136,2016,20862,443
Progressive,137,2016,20854,1268
Abbott Laboratories,138,2016,20661,4423
Dollar General,139,2016,20369,1165
Tenet Healthcare,140,2016,20111,140
Eli Lilly,141,2016,19959,2408
Southwest Airlines,142,2016,19820,2181
Penske Automotive Group,143,2016,19361,326
ManpowerGroup,144,2016,19330,419
Kohl's,145,2016,19204,673
Starbucks,146,2016,19163,2757
Paccar,147,2016,19115,1604
Cummins,148,2016,19110,1399
Altria Group,149,2016,18854,5241
Xerox,150,2016,18664,474
Kimberly-Clark,151,2016,18591,1013
Hartford Financial Services Group,152,2016,18377,1682
Kraft Heinz,153,2016,18338,634
Lear,154,2016,18211,746
Fluor,155,2016,18114,413
AECOM,156,2016,17990,155
Facebook,157,2016,17928,3688
Jabil Circuit,158,2016,17914,284
CenturyLink,159,2016,17900,878
Supervalu,160,2016,17820,192
General Mills,161,2016,17630,1221
Southern,162,2016,17489,2367
NextEra Energy,163,2016,17486,2752
Thermo Fisher Scientific,164,2016,16965,1975
American Electric Power,165,2016,16900,2047
PG&E Corp.,166,2016,16833,874
NGL Energy Partners,167,2016,16802,17
Bristol-Myers Squibb,168,2016,16560,1565
Goodyear Tire & Rubber,169,2016,16443,307
Nucor,170,2016,16439,358
PNC Financial Services Group,171,2016,16270,4106
Health Net,172,2016,16244,186
Micron Technology,173,2016,16192,2899
Colgate-Palmolive,174,2016,16034,1384
Freeport-McMoRan,175,2016,15877,12236
ConAgra Foods,176,2016,15849,253
Gap,177,2016,15797,920
Baker Hughes,178,2016,15742,1967
Bank of New York Mellon Corp.,179,2016,15523,3158
Dollar Tree,180,2016,15498,282
Whole Foods Market,181,2016,15389,536
PPG Industries,182,2016,15330,1406
Genuine Parts,183,2016,15280,706
Icahn Enterprises,184,2016,15272,1194
Performance Food Group,185,2016,15270,57
Omnicom Group,186,2016,15134,1094
DISH Network,187,2016,15069,747
FirstEnergy,188,2016,15026,578
Monsanto,189,2016,15001,2314
AES,190,2016,14963,306
CarMax,191,2016,14874,597
National Oilwell Varco,192,2016,14757,769
NRG Energy,193,2016,14674,6382
Western Digital,194,2016,14572,1465
Marriott International,195,2016,14486,859
Office Depot,196,2016,14485,8
Nordstrom,197,2016,14437,600
Kinder Morgan,198,2016,14403,253
Aramark,199,2016,14329,236
DaVita,200,2016,14210,270
Molina Healthcare,201,2016,14178,143
WellCare Health Plans,202,2016,13890,119
CBS,203,2016,13886,1413
Visa,204,2016,13880,6328
Lincoln National,205,2016,13572,1154
Ecolab,206,2016,13545,1002
Kellogg,207,2016,13525,614
C.H. Robinson Worldwide,208,2016,13476,510
Textron,209,2016,13423,697
Loews,210,2016,13415,260
Illinois Tool Works,211,2016,13405,1899
Synnex,212,2016,13338,209
Viacom,213,2016,13268,1922
HollyFrontier,214,2016,13238,740
Land O'Lakes,215,2016,13161,308
Devon Energy,216,2016,13145,14454
PBF Energy,217,2016,13124,146
Yum Brands,218,2016,13105,1293
Texas Instruments,219,2016,13000,2986
CDW,220,2016,12989,403
Waste Management,221,2016,12961,753
Marsh & McLennan,222,2016,12893,1599
Chesapeake Energy,223,2016,12764,14685
Parker-Hannifin,224,2016,12712,1012
Occidental Petroleum,225,2016,12699,7829
Guardian Life Ins. Co. of America,226,2016,12628,411
Farmers Insurance Exchange,227,2016,12626,114
J.C. Penney,228,2016,12625,513
Consolidated Edison,229,2016,12554,1193
Cognizant Technology Solutions,230,2016,12416,1624
VF,231,2016,12377,1232
Ameriprise Financial,232,2016,12200,1562
Computer Sciences,233,2016,12183,8
L Brands,234,2016,12154,1253
Jacobs Engineering Group,235,2016,12115,303
Principal Financial Group,236,2016,11964,1234
Ross Stores,237,2016,11940,1021
Bed Bath & Beyond,238,2016,11881,958
CSX,239,2016,11811,1968
"Toys ""R"" Us",240,2016,11802,130
Las Vegas Sands,241,2016,11689,1966
Leucadia National,242,2016,11684,284
Dominion Resources,243,2016,11683,1899
United States Steel,244,2016,11574,1642
L-3 Communications,245,2016,11554,240
Edison International,246,2016,11524,1020
Entergy,247,2016,11513,177
ADP,248,2016,11477,1453
First Data,249,2016,11451,1481
BlackRock,250,2016,11401,3345
WestRock,251,2016,11381,507
Voya Financial,252,2016,11341,408
Sherwin-Williams,253,2016,11339,1054
Hilton Worldwide Holdings,254,2016,11272,1404
R.R. Donnelley & Sons,255,2016,11257,151
Stanley Black & Decker,256,2016,11211,884
Xcel Energy,257,2016,11025,985
Murphy USA,258,2016,10885,176
CBRE Group,259,2016,10856,547
D.R. Horton,260,2016,10824,751
Estee Lauder,261,2016,10780,1089
Praxair,262,2016,10776,1547
Biogen,263,2016,10764,3547
State Street Corp.,264,2016,10760,1980
Unum Group,265,2016,10731,867
Reynolds American,266,2016,10675,3253
Group 1 Automotive,267,2016,10633,94
Henry Schein,268,2016,10630,479
Hertz Global Holdings,269,2016,10535,273
Norfolk Southern,270,2016,10511,1556
Reinsurance Group of America,271,2016,10418,502
Public Service Enterprise Group,272,2016,10415,1679
BB&T Corp.,273,2016,10346,2084
DTE Energy,274,2016,10337,727
Assurant,275,2016,10326,142
Global Partners,276,2016,10315,44
Huntsman,277,2016,10299,93
Becton Dickinson,278,2016,10282,695
Sempra Energy,279,2016,10231,1349
AutoZone,280,2016,10187,1160
Navistar International,281,2016,10140,184
Precision Castparts,282,2016,10056,1530
Discover Financial Services,283,2016,10002,2297
Liberty Interactive,284,2016,9989,869
W.W. Grainger,285,2016,9973,769
Baxter International,286,2016,9968,968
Stryker,287,2016,9946,1439
Air Products & Chemicals,288,2016,9895,1278
Western Refining,289,2016,9787,407
Universal Health Services,290,2016,9785,681
Owens & Minor,291,2016,9773,103
Charter Communications,292,2016,9754,271
Advance Auto Parts,293,2016,9737,473
MasterCard,294,2016,9667,3808
Applied Materials,295,2016,9659,1377
Eastman Chemical,296,2016,9648,848
Sonic Automotive,297,2016,9624,86
Ally Financial,298,2016,9539,1289
CST Brands,299,2016,9499,149
eBay,300,2016,9496,1725
Lennar,301,2016,9474,803
GameStop,302,2016,9364,403
Reliance Steel & Aluminum,303,2016,9351,312
Hormel Foods,304,2016,9264,686
Celgene,305,2016,9256,1602
Genworth Financial,306,2016,9249,615
PayPal Holdings,307,2016,9248,1228
Priceline Group,308,2016,9224,2551
MGM Resorts International,309,2016,9190,448
Autoliv,310,2016,9170,457
Fidelity National Financial,311,2016,9132,527
Republic Services,312,2016,9115,750
Corning,313,2016,9111,1339
Peter Kiewit Sons',314,2016,8992,251
Univar,315,2016,8982,17
Mosaic,316,2016,8895,1000
Core-Mark Holding,317,2016,8858,52
Thrivent Financial for Lutherans,318,2016,8789,769
Cameron International,319,2016,8782,501
HD Supply Holdings,320,2016,8779,1472
Crown Holdings,321,2016,8762,393
EOG Resources,322,2016,8757,4525
Veritiv,323,2016,8718,27
Anadarko Petroleum,324,2016,8698,6692
Laboratory Corp. of America,325,2016,8680,437
Pacific Life,326,2016,8642,661
News Corp.,327,2016,8633,147
Jarden,328,2016,8604,147
SunTrust Banks,329,2016,8533,1933
Avis Budget Group,330,2016,8502,313
Broadcom,331,2016,8394,978
American Family Insurance Group,332,2016,8286,694
Level 3 Communications,333,2016,8229,3433
Tenneco,334,2016,8209,247
United Natural Foods,335,2016,8185,139
Dean Foods,336,2016,8122,9
Campbell Soup,337,2016,8082,691
Mohawk Industries,338,2016,8072,615
BorgWarner,339,2016,8023,610
PVH,340,2016,8020,572
Ball,341,2016,7997,281
O'Reilly Automotive,342,2016,7967,931
Eversource Energy,343,2016,7955,879
Franklin Resources,344,2016,7949,2035
Masco,345,2016,7904,355
Lithia Motors,346,2016,7864,183
KKR,347,2016,7786,489
Oneok,348,2016,7763,245
Newmont Mining,349,2016,7729,220
PPL,350,2016,7669,682
SpartanNash,351,2016,7652,63
Quanta Services,352,2016,7632,311
XPO Logistics,353,2016,7623,191
Ralph Lauren,354,2016,7620,702
Interpublic Group,355,2016,7614,455
Steel Dynamics,356,2016,7594,130
WESCO International,357,2016,7519,211
Quest Diagnostics,358,2016,7493,709
Boston Scientific,359,2016,7477,239
AGCO,360,2016,7467,266
Foot Locker,361,2016,7412,541
Hershey,362,2016,7387,513
CenterPoint Energy,363,2016,7386,692
Williams,364,2016,7360,571
Dick's Sporting Goods,365,2016,7271,330
Live Nation Entertainment,366,2016,7246,33
Mutual of Omaha Insurance,367,2016,7236,333
W.R. Berkley,368,2016,7207,504
LKQ,369,2016,7193,423
Avon Products,370,2016,7173,1149
Darden Restaurants,371,2016,7164,710
Kindred Healthcare,372,2016,7098,93
Weyerhaeuser,373,2016,7082,506
Casey's General Stores,374,2016,7052,181
Sealed Air,375,2016,7032,335
Fifth Third Bancorp,376,2016,7031,1712
Dover,377,2016,7029,870
Huntington Ingalls Industries,378,2016,7020,404
Netflix,379,2016,6780,123
Dillard's,380,2016,6755,269
EMCOR Group,381,2016,6723,172
Jones Financial,382,2016,6694,838
AK Steel Holding,383,2016,6693,509
UGI,384,2016,6691,281
Expedia,385,2016,6672,765
salesforce.com,386,2016,6667,47
Targa Resources,387,2016,6659,58
Apache,388,2016,6654,23119
Spirit AeroSystems Holdings,389,2016,6644,789
Expeditors International of Washington,390,2016,6617,457
Anixter International,391,2016,6596,128
Fidelity National Information Services,392,2016,6595,632
Asbury Automotive Group,393,2016,6588,169
Hess,394,2016,6575,3056
Ryder System,395,2016,6572,305
Terex,396,2016,6543,146
Coca-Cola European Partners,397,2016,6540,596
Auto-Owners Insurance,398,2016,6517,815
Cablevision Systems,399,2016,6510,175
Symantec,400,2016,6508,878
Charles Schwab,401,2016,6501,1447
Calpine,402,2016,6472,235
CMS Energy,403,2016,6456,523
Alliance Data Systems,404,2016,6440,597
JetBlue Airways,405,2016,6416,677
Discovery Communications,406,2016,6394,1034
Trinity Industries,407,2016,6393,797
Sanmina,408,2016,6375,377
NCR,409,2016,6373,178
FMC Technologies,410,2016,6363,393
Erie Insurance Group,411,2016,6351,175
Rockwell Automation,412,2016,6308,828
Dr Pepper Snapple Group,413,2016,6282,764
iHeartMedia,414,2016,6242,755
Tractor Supply,415,2016,6227,410
J.B. Hunt Transport Services,416,2016,6188,427
Commercial Metals,417,2016,6162,142
Owens-Illinois,418,2016,6156,74
Harman International Industries,419,2016,6155,343
Baxalta,420,2016,6149,956
American Financial Group,421,2016,6145,352
NetApp,422,2016,6123,560
Graybar Electric,423,2016,6110,91
Oshkosh,424,2016,6098,230
Ameren,425,2016,6098,630
A-Mark Precious Metals,426,2016,6070,7
Barnes & Noble,427,2016,6070,37
Dana Holding,428,2016,6060,159
Constellation Brands,429,2016,6028,839
LifePoint Health,430,2016,6014,182
Zimmer Biomet Holdings,431,2016,5998,147
Harley-Davidson,432,2016,5995,752
PulteGroup,433,2016,5982,494
Newell Brands,434,2016,5972,350
Avery Dennison,435,2016,5967,274
Jones Lang LaSalle,436,2016,5966,439
WEC Energy Group,437,2016,5926,640
Marathon Oil,438,2016,5861,2204
TravelCenters of America,439,2016,5851,28
United Rentals,440,2016,5817,585
HRG Group,441,2016,5816,557
Old Republic International,442,2016,5766,422
Windstream Holdings,443,2016,5765,27
Starwood Hotels & Resorts,444,2016,5763,489
Delek US Holdings,445,2016,5762,19
